text	true_stance	true_category	Mistral-7B-Instruct-v0-1_stance	Mistral-7B-Instruct-v0-1_category	Qwen3-235B-A22B_stance	Qwen3-235B-A22B_category	DeepSeek-R1-Zero_stance	DeepSeek-R1-Zero_category	Claude3-5_Haiku_stance	Claude3-5_Haiku_category	Falcon3-7B-Instruct_stance	Falcon3-7B-Instruct_category	Gemini_2_5_Flash_stance	Gemini_2_5_Flash_category	deepseek-V3_stance	deepseek-V3_category	Yi-9B_stance	Yi-9B_category	Llama-3-8B-Instruct_stance	Llama-3-8B-Instruct_category	GPT-4_1_stance	GPT-4_1_category	SEA_LION_stance	SEA_LION_category
Those Christians nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation, dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation, dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
Those Christian nazis just can't keep their hatred to themselves	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation, dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation, dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
The Bible is More Evil and Cursed Than The Necronomicons	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
"Stay away from progressive ""Christianity"""	anti-Christianity	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	anti-Christianity	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
I hate jews	undefined	explicit derogation	undefined	explicit derogation and dehumanization	anti-Hinduism	explicit derogation  	undefined	explicit derogation	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	undefined	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation	undefined	undefined
Christians be like XD	anti-Christianity	implicit anomosity	undefined	implicit animosity	anti-Christianity	implicit animosity  	anti-Christianity	abusive humor	anti-Christianity	abusive humor	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	abusive humor	anti-Christianity	abusive humor	undefined	undefined	undefined	undefined	anti-Christianity	abusive humor	anti-Christianity	implicit animosity
Atheists are more annoying then religious people	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
blasphemy.	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	undefined	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	undefined	undefined	undefined	undefined	undefined	implicit animosity	anti-Islam	explicit derogation and dehumanization	undefined	undefined	undefined	explicit derogation and dehumanization
Religion is injustice.	undefined	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	undefined
Muslims be like:	anti-Islam	implicit anomosity	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity  	anti-Islam	implicit animosity	anti-Islam	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	abusive humor	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Islam	implicit animosity	undefined	implicit animosity
I HATE THE ANTICHRIST I HATE THE ANTICHRIST I HATE THE ANTICHRIST	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Filthy Christians	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	dehumanization  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Christianity	explicit derogation, dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity
Religion should be extinguished	undefined	threatening language	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	threatening language	undefined	threatening language	anti-Christianity	explicit derogation and dehumanization	undefined	threatening language	undefined	explicit derogation	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	undefined	threatening language	anti-Christianity	implicit animosity
Atheism is a sin that leads to Hell	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	undefined
f the orthodox	anti-Christianity	explicit derogation	undefined	undefined	anti-Christianity	threatening language  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
"Average ""Christian"""	anti-Christianity	implicit anomosity	undefined	undefined	anti-Christianity	implicit animosity  	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	anti-Islam	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	abusive humor	anti-Christianity	undefined	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Islam Is FRAUD! Your Prophet Was FRAUD! Muslims Worship DEMONS!	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization
Atheism is a false religion	anti-Atheism	implicit anomosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
ATHIESM IS A FALSE RELIGION BECAUSE SCIENCE IS FALSE	anti-Atheism	implicit anomosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
Atheism is false religin	anti-Atheism	implicit anomosity	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	undefined
I hate the antichrist, I hate the antichrist	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	undefined
Narcissism disguised as evangelicalism	anti-Christianity	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	undefined	implicit animosity	undefined	undefined	anti-Christianity	implicit animosity	undefined	implicit animosity
Without Lies, Islam Dies.	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	threatening language	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	implicit animosity	anti-Islam	implicit animosity
antisemitism is bad	undefined	undefined	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	undefined	undefined	undefined	undefined	explicit derogation and dehumanization	undefined	undefined	undefined	undefined	undefined	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	undefined	undefined	undefined	undefined
Uh-oh, it's a meddling Christian troll! Reddit, get out your pitchforks	anti-Christianity	abusive humor	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity  	anti-Christianity	abusive humor	anti-Christianity	explicit derogation, threatening language	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation, threatening language	anti-Christianity	abusive humor	anti-Christianity	abusive humor	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	threatening language
Religion sucks	undefined	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Atheism	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	implicit animosity	undefined	undefined	undefined	implicit animosity	undefined	undefined
Atheists be like	anti-Atheism	implicit anomosity	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity  	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	abusive humor	undefined	undefined	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	implicit animosity	undefined	implicit animosity
I hate the antichrist!	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation and dehumanization	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
Atheist grooming	anti-Atheism	explicit derogation	anti-Atheism	undefined	anti-Atheism	dehumanization  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation, dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	explicit derogation, dehumanization	anti-Atheism	implicit animosity	anti-Atheism	undefined	undefined	undefined	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization
Religion is the source of misogyny.	undefined	implicit anomosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	anti-Islam	explicit derogation and dehumanization	undefined	explicit derogation	undefined	implicit animosity	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	implicit animosity
Gotta say I hate jews	undefined	explicit derogation	undefined	explicit derogation and dehumanization	anti-Hinduism	explicit derogation  	undefined	explicit derogation	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	explicit derogation	undefined	explicit derogation	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	explicit derogation	undefined	explicit derogation and dehumanization
Religion is morally challenged.	undefined	implicit anomosity	undefined	explicit derogation and dehumanization	undefined	implicit animosity  	undefined	explicit derogation	undefined	explicit derogation	undefined	implicit animosity	undefined	explicit derogation	undefined	explicit derogation	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	undefined
Common atheist Loser	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	abusive humor  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	abusive humor	anti-Atheism	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	explicit derogation and dehumanization
Least murderous anti-theist	anti-Atheism	explicit derogation	anti-Atheism	undefined	undefined	implicit animosity  	undefined	implicit animosity	anti-Atheism	abusive humor, dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	abusive humor, dehumanization	undefined	abusive humor	undefined	abusive humor	anti-Christianity	undefined	anti-Atheism	abusive humor	anti-Atheism	implicit animosity
I am fed up with how oxymoronic Christianity is.	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	anti-Christianity	undefined	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	undefined
The worthlessness of atheism	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	implicit animosity	anti-Atheism	implicit animosity
Atheists are just assholes	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation  	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation and dehumanization	anti-Atheism	explicit derogation	anti-Atheism	explicit derogation and dehumanization
Muslims are totally okay with pedophilia, because it was the norm?	anti-Islam	implicit anomosity	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation, dehumanization	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation, dehumanization	anti-Islam	implicit animosity	anti-Islam	explicit derogation and dehumanization	undefined	implicit animosity	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization
Science flies you to the moon, religion flies you into buildings	undefined	abusive humor	undefined	implicit animosity	undefined	implicit animosity  	undefined	explicit derogation	undefined	implicit animosity	anti-Christianity	explicit derogation and dehumanization	undefined	implicit animosity	undefined	abusive humor	undefined	explicit derogation and dehumanization	undefined	undefined	undefined	implicit animosity	anti-Christianity	implicit animosity
What does this sub think of never-muslims who really dislike Islam and think it's the worst religion?: I think islam is a disgusting cult and causes the problems it thinks it's the victim of. Do you guys consider me bigoted? I'm honestly just curious if you see me as on your side or not.	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation  	anti-Islam	explicit derogation	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization	anti-Islam	explicit derogation	anti-Islam	implicit animosity	anti-Islam	explicit derogation and dehumanization	undefined	undefined	anti-Islam	explicit derogation	anti-Islam	explicit derogation and dehumanization
With the Mormin church being a scam and based off of fairytales what else is made of fairytales and lies?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity  	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
With the Mormin LSD church believing in magical ghosts and being founded by a con man named Joesifth Smith, hoe can you help rescue a mormin from their church before they lose themselves to it?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	undefined	explicit derogation	anti-Christianity	explicit derogation, implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation, implicit animosity	anti-Christianity	implicit animosity	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	implicit animosity	anti-Christianity	explicit derogation and dehumanization
With Joe Smith teaching Mormins that quakers living on the moon lived up to 1000 years old, what other fairytales make a church look like a scam?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	undefined	explicit derogation	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	undefined	abusive humor	undefined	undefined	anti-Christianity	implicit animosity	undefined	implicit animosity
How do you rescue a Mormin from their own fairy tale filled scam of a church?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation  	undefined	explicit derogation	anti-Christianity	explicit derogation	undefined	explicit derogation and dehumanization	anti-Christianity	explicit derogation	anti-Christianity	implicit animosity	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	implicit animosity	anti-Christianity	implicit animosity
With Mormins LDS full of hors3 shit, how do we as a society rescue them all from their own brainwashing doom?	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation	undefined	explicit derogation	anti-Christianity	explicit derogation, implicit animosity	anti-Christianity	explicit derogation and dehumanization	anti-Christianity	explicit derogation, implicit animosity	anti-Christianity	implicit animosity	undefined	explicit derogation and dehumanization	undefined	undefined	anti-Christianity	explicit derogation	anti-Christianity	explicit derogation and dehumanization
